BAG:brohulk add 1xGăng jean Calic lydo: Lấy từ body đệ vào hành trang at 03/05/2023 12:21 PM
BAG:brohulk add 23xĐậu xanh (old: 22) lydo: Nhặt từ map at 03/05/2023 12:26 PM
BAG:brohulk add 32xGà quay nguyên con (old: 31) lydo: Nhặt từ map at 03/05/2023 12:26 PM
BAG:brohulk add 24xĐậu xanh (old: 23) lydo: Nhặt từ map at 03/05/2023 12:27 PM
BAG:brohulk add 1xQuần vải đen lydo: Nhặt từ map at 03/05/2023 12:27 PM
BAG:brohulk add 1xGăng vải đen lydo: Nhặt từ map at 03/05/2023 12:27 PM
BAG:brohulk add 30xBột mì (old: 29) lydo: Nhặt từ map at 03/05/2023 12:27 PM
BAG:brohulk add 1xGăng vải đen lydo: Nhặt từ map at 03/05/2023 12:27 PM
BAG:brohulk add 1xGăng bạc Goku lydo: Cường Hóa trang bị at 03/05/2023 12:28 PM
BAG:brohulk add 1xGăng bạc Goku lydo: Cường Hóa trang bị at 03/05/2023 12:28 PM
BAG:brohulk add 1xGăng jean Calic lydo: Cường Hóa trang bị at 03/05/2023 12:28 PM
BAG:brohulk add 1xGăng jean Calic lydo: Cường Hóa trang bị at 03/05/2023 12:28 PM
BAG:brohulk add 1xGăng Thần Linh lydo: Cường Hóa trang bị at 03/05/2023 12:28 PM
BAG:brohulk add 1xGăng Thần Linh lydo: Cường Hóa trang bị at 03/05/2023 12:28 PM
BAG:brohulk add 1xGăng Hủy Diệt lydo: Cường Hóa trang bị at 03/05/2023 12:29 PM
BAG:brohulk add 1xĐá Vĩnh Hằng lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 1xĐá Hắc Hóa lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 2xĐá Vĩnh Hằng (old: 1) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 2xĐá Hắc Hóa (old: 1) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 3xĐá Vĩnh Hằng (old: 2) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 3xĐá Hắc Hóa (old: 2) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 4xĐá Vĩnh Hằng (old: 3) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 4xĐá Hắc Hóa (old: 3) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 5xĐá Vĩnh Hằng (old: 4) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 5xĐá Hắc Hóa (old: 4) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 6xĐá Vĩnh Hằng (old: 5) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 6xĐá Hắc Hóa (old: 5) lydo: Mua santa at 03/05/2023 12:29 PM
BAG:brohulk add 7xĐá Vĩnh Hằng (old: 6) lydo: Mua santa at 03/05/2023 12:29 PM
